report_date	country	latitude	longitude	cases	deaths	uri
2011-01-02	Korea (Rep. of)	35,53469	126,569188	39	1	http://web.oie.int/wahis/reports/en_fup_0000010121_20110102_154206.pdf	
2011-01-02	Korea (Rep. of)	36,380855	126,221268	NaN	2	http://web.oie.int/wahis/reports/en_fup_0000010121_20110102_154206.pdf	
2011-01-02	Korea (Rep. of)	34,6306	126,4644	74	20	http://web.oie.int/wahis/reports/en_fup_0000010121_20110102_154206.pdf	
2011-01-02	Korea (Rep. of)	36,064585	127,023646	5	5	http://web.oie.int/wahis/reports/en_fup_0000010121_20110102_154206.pdf	
2011-01-02	Korea (Rep. of)	36,430021	127,072233	1	1	http://web.oie.int/wahis/reports/en_fup_0000010121_20110102_154206.pdf	
2011-01-07	Korea (Rep. of)	35,53469	126,569188	39	1	http://web.oie.int/wahis/reports/en_fup_0000010137_20110107_161832.pdf	
2011-01-07	Korea (Rep. of)	36,380855	126,221268	NaN	2	http://web.oie.int/wahis/reports/en_fup_0000010137_20110107_161832.pdf	
2011-01-07	Korea (Rep. of)	34,6306	126,4644	74	20	http://web.oie.int/wahis/reports/en_fup_0000010137_20110107_161832.pdf	
2011-01-07	Korea (Rep. of)	36,064585	127,023646	5	5	http://web.oie.int/wahis/reports/en_fup_0000010137_20110107_161832.pdf	
2011-01-07	Korea (Rep. of)	36,430021	127,072233	1	1	http://web.oie.int/wahis/reports/en_fup_0000010137_20110107_161832.pdf	
2011-01-07	Korea (Rep. of)	34,590794	128,034907	NaN	1	http://web.oie.int/wahis/reports/en_fup_0000010137_20110107_161832.pdf	
2011-01-17	Korea (Rep. of)	35,53469	126,569188	39	1	http://web.oie.int/wahis/reports/en_fup_0000010145_20110117_154533.pdf	
2011-01-17	Korea (Rep. of)	36,380855	126,221268	NaN	2	http://web.oie.int/wahis/reports/en_fup_0000010145_20110117_154533.pdf	
2011-01-17	Korea (Rep. of)	34,6306	126,4644	74	20	http://web.oie.int/wahis/reports/en_fup_0000010145_20110117_154533.pdf	
2011-01-17	Korea (Rep. of)	36,064585	127,023646	5	5	http://web.oie.int/wahis/reports/en_fup_0000010145_20110117_154533.pdf	
2011-01-17	Korea (Rep. of)	36,430021	127,072233	1	1	http://web.oie.int/wahis/reports/en_fup_0000010145_20110117_154533.pdf	
2011-01-17	Korea (Rep. of)	34,590794	128,034907	NaN	1	http://web.oie.int/wahis/reports/en_fup_0000010145_20110117_154533.pdf	
2011-01-10	Bangladesh	24,333	88,91	13	13	http://web.oie.int/wahis/reports/en_fup_0000010146_20110110_121831.pdf	
2011-01-10	Bangladesh	24,333	88,91	10	10	http://web.oie.int/wahis/reports/en_fup_0000010146_20110110_121831.pdf	
2011-01-10	Bangladesh	23,84	90,25	12000	12000	http://web.oie.int/wahis/reports/en_fup_0000010146_20110110_121831.pdf	
2011-01-10	Bangladesh	23,8	90,35	880	880	http://web.oie.int/wahis/reports/en_fup_0000010146_20110110_121831.pdf	
2011-01-10	Bangladesh	23,91	90,3	200	200	http://web.oie.int/wahis/reports/en_fup_0000010146_20110110_121831.pdf	
2011-01-10	Bangladesh	23,79	90,29	319	319	http://web.oie.int/wahis/reports/en_fup_0000010146_20110110_121831.pdf	
2011-01-10	Bangladesh	23,68	90,55	212	212	http://web.oie.int/wahis/reports/en_fup_0000010146_20110110_121831.pdf	
2011-01-10	Bangladesh	24,333	88,91	90	90	http://web.oie.int/wahis/reports/en_fup_0000010146_20110110_121831.pdf	
2011-01-19	Japan	36,747838	137,022638	14	4	http://web.oie.int/wahis/reports/en_fup_0000010168_20110119_180927.pdf	
2011-01-19	Japan	32,102814	130,274954	NaN	5	http://web.oie.int/wahis/reports/en_fup_0000010168_20110119_180927.pdf	
2011-01-19	Japan	32,102814	130,274954	NaN	1	http://web.oie.int/wahis/reports/en_fup_0000010168_20110119_180927.pdf	
2011-01-19	Japan	37,396142	140,368409	NaN	2	http://web.oie.int/wahis/reports/en_fup_0000010168_20110119_180927.pdf	
2011-01-23	Japan	36,747838	137,022638	14	4	http://web.oie.int/wahis/reports/en_fup_0000010184_20110125_190311.pdf	
2011-01-23	Japan	32,102814	130,274954	NaN	5	http://web.oie.int/wahis/reports/en_fup_0000010184_20110125_190311.pdf	
2011-01-23	Japan	32,102814	130,274954	NaN	1	http://web.oie.int/wahis/reports/en_fup_0000010184_20110125_190311.pdf	
2011-01-23	Japan	37,396142	140,368409	NaN	2	http://web.oie.int/wahis/reports/en_fup_0000010184_20110125_190311.pdf	
2011-01-23	Japan	43,047314	145,016441	NaN	5	http://web.oie.int/wahis/reports/en_fup_0000010184_20110125_190311.pdf	
2011-01-23	Japan	35,432211	133,251157	57	57	http://web.oie.int/wahis/reports/en_fup_0000010185_20110125_190048.pdf	
2011-01-23	Japan	35,443384	133,30569	NaN	1	http://web.oie.int/wahis/reports/en_fup_0000010185_20110125_190048.pdf	
2011-01-23	Japan	32,050989	131,431375	36	36	http://web.oie.int/wahis/reports/en_fup_0000010185_20110125_190048.pdf	
2011-01-23	Japan	32,0937	131,48	20	20	http://web.oie.int/wahis/reports/en_fup_0000010185_20110125_190048.pdf	
2011-01-28	Myanmar	20,1448	92,8784	500	500	http://web.oie.int/wahis/reports/en_fup_0000010191_20110128_165648.pdf	
2011-01-28	Myanmar	20,1585	92,8429	6198	0	http://web.oie.int/wahis/reports/en_fup_0000010191_20110128_165648.pdf	
2011-01-28	Myanmar	20,1471	92,8698	3980	0	http://web.oie.int/wahis/reports/en_fup_0000010191_20110128_165648.pdf	
2011-01-28	Myanmar	20,1471	92,8698	10530	0	http://web.oie.int/wahis/reports/en_fup_0000010191_20110128_165648.pdf	
2011-01-28	Myanmar	20,1471	92,8698	11570	0	http://web.oie.int/wahis/reports/en_fup_0000010191_20110128_165648.pdf	
2011-01-28	Myanmar	20,1425	92,874	9750	0	http://web.oie.int/wahis/reports/en_fup_0000010191_20110128_165648.pdf	
2011-01-28	Myanmar	20,148	92,8667	11100	0	http://web.oie.int/wahis/reports/en_fup_0000010191_20110128_165648.pdf	
2011-01-28	Hong Kong (SAR - PRC)	22,478058	114,046247	NaN	1	http://web.oie.int/wahis/reports/en_fup_0000010192_20110128_163207.pdf	
2011-01-28	Hong Kong (SAR - PRC)	22,258305	113,863918	NaN	1	http://web.oie.int/wahis/reports/en_fup_0000010192_20110128_163207.pdf	
2011-01-28	Hong Kong (SAR - PRC)	22,304322	113,898322	NaN	1	http://web.oie.int/wahis/reports/en_fup_0000010192_20110128_163207.pdf	
2011-01-28	Hong Kong (SAR - PRC)	22,25846	113,86325	1	1	http://web.oie.int/wahis/reports/en_fup_0000010192_20110128_163207.pdf	
2011-01-28	Korea (Rep. of)	35,53469	126,569188	39	1	http://web.oie.int/wahis/reports/en_fup_0000010195_20110128_165458.pdf	
2011-01-28	Korea (Rep. of)	36,380855	126,221268	NaN	2	http://web.oie.int/wahis/reports/en_fup_0000010195_20110128_165458.pdf	
2011-01-28	Korea (Rep. of)	34,6306	126,4644	74	20	http://web.oie.int/wahis/reports/en_fup_0000010195_20110128_165458.pdf	
2011-01-28	Korea (Rep. of)	36,064585	127,023646	5	5	http://web.oie.int/wahis/reports/en_fup_0000010195_20110128_165458.pdf	
2011-01-28	Korea (Rep. of)	36,430021	127,072233	1	1	http://web.oie.int/wahis/reports/en_fup_0000010195_20110128_165458.pdf	
2011-01-28	Korea (Rep. of)	34,590794	128,034907	NaN	1	http://web.oie.int/wahis/reports/en_fup_0000010195_20110128_165458.pdf	
2011-01-31	Hong Kong (SAR - PRC)	22,478058	114,046247	NaN	1	http://web.oie.int/wahis/reports/en_fup_0000010202_20110202_154953.pdf	
2011-01-31	Hong Kong (SAR - PRC)	22,258305	113,863918	NaN	1	http://web.oie.int/wahis/reports/en_fup_0000010202_20110202_154953.pdf	
