report_date	country	latitude	longitude	cases	deaths	uri
2009-01-02	India	26,2	91,15	324	324	http://web.oie.int/wahis/reports/en_fup_0000007647_20090102_154707.pdf	
2009-01-02	India	26,2	91,15	682	682	http://web.oie.int/wahis/reports/en_fup_0000007647_20090102_154707.pdf	
2009-01-02	India	26,5	90,39	18	18	http://web.oie.int/wahis/reports/en_fup_0000007647_20090102_154707.pdf	
2009-01-02	India	26,2	91,15	112	112	http://web.oie.int/wahis/reports/en_fup_0000007647_20090102_154707.pdf	
2009-01-02	India	26,35	90,38	399	399	http://web.oie.int/wahis/reports/en_fup_0000007647_20090102_154707.pdf	
2009-01-06	Bangladesh	24,333	88,91	13	13	http://web.oie.int/wahis/reports/en_fup_0000007659_20090106_175025.pdf	
2009-01-06	Bangladesh	24,333	88,91	10	10	http://web.oie.int/wahis/reports/en_fup_0000007659_20090106_175025.pdf	
2009-01-06	Bangladesh	23,84	90,25	12000	12000	http://web.oie.int/wahis/reports/en_fup_0000007659_20090106_175025.pdf	
2009-01-06	Bangladesh	23,8	90,35	880	880	http://web.oie.int/wahis/reports/en_fup_0000007659_20090106_175025.pdf	
2009-01-06	Bangladesh	23,68	90,55	212	212	http://web.oie.int/wahis/reports/en_fup_0000007659_20090106_175025.pdf	
2009-01-06	Bangladesh	23,79	90,29	319	319	http://web.oie.int/wahis/reports/en_fup_0000007659_20090106_175025.pdf	
2009-01-06	Bangladesh	23,91	90,3	200	200	http://web.oie.int/wahis/reports/en_fup_0000007659_20090106_175025.pdf	
2009-01-06	Bangladesh	24,333	88,91	90	90	http://web.oie.int/wahis/reports/en_fup_0000007659_20090106_175025.pdf	
2009-01-07	Vietnam	9,3331	105,313	80	50	http://web.oie.int/wahis/reports/en_fup_0000007666_20090107_182042.pdf	
2009-01-07	Vietnam	9,104654	104,839648	188	134	http://web.oie.int/wahis/reports/en_fup_0000007666_20090107_182042.pdf	
2009-01-07	Vietnam	9,1353	105,1108	225	225	http://web.oie.int/wahis/reports/en_fup_0000007666_20090107_182042.pdf	
2009-01-07	Vietnam	9,11198	104,890706	2523	2523	http://web.oie.int/wahis/reports/en_fup_0000007666_20090107_182042.pdf	
2009-01-07	Vietnam	9,2027	105,3237	3550	3550	http://web.oie.int/wahis/reports/en_fup_0000007666_20090107_182042.pdf	
2009-01-07	Vietnam	9,0843	105,0743	40	40	http://web.oie.int/wahis/reports/en_fup_0000007666_20090107_182042.pdf	
2009-01-07	Vietnam	9,1501	105,0027	45	45	http://web.oie.int/wahis/reports/en_fup_0000007666_20090107_182042.pdf	
2009-01-07	Vietnam	9,1132	105,0751	7	7	http://web.oie.int/wahis/reports/en_fup_0000007666_20090107_182042.pdf	
2009-01-13	India	26,2	91,15	324	324	http://web.oie.int/wahis/reports/en_fup_0000007675_20090115_145357.pdf	
2009-01-13	India	26,2	91,15	682	682	http://web.oie.int/wahis/reports/en_fup_0000007675_20090115_145357.pdf	
2009-01-13	India	26,5	90,39	18	18	http://web.oie.int/wahis/reports/en_fup_0000007675_20090115_145357.pdf	
2009-01-13	India	26,2	91,15	112	112	http://web.oie.int/wahis/reports/en_fup_0000007675_20090115_145357.pdf	
2009-01-13	India	26,35	90,38	399	399	http://web.oie.int/wahis/reports/en_fup_0000007675_20090115_145357.pdf	
2009-01-14	Germany	51,148034	14,885179	1	0	http://web.oie.int/wahis/reports/en_fup_0000007684_20090114_145224.pdf	
2009-01-16	Togo	6,203	1,607	4131	4131	http://web.oie.int/wahis/reports/en_fup_0000007692_20090116_171706.pdf	
2009-01-16	Togo	6,200039	1,385578	4231	4231	http://web.oie.int/wahis/reports/en_fup_0000007692_20090116_171706.pdf	
2009-01-21	India	26,2	91,15	324	324	http://web.oie.int/wahis/reports/en_fup_0000007710_20090122_142134.pdf	
2009-01-21	India	26,2	91,15	682	682	http://web.oie.int/wahis/reports/en_fup_0000007710_20090122_142134.pdf	
2009-01-21	India	26,5	90,39	18	18	http://web.oie.int/wahis/reports/en_fup_0000007710_20090122_142134.pdf	
2009-01-21	India	26,2	91,15	112	112	http://web.oie.int/wahis/reports/en_fup_0000007710_20090122_142134.pdf	
2009-01-21	India	26,35	90,38	399	399	http://web.oie.int/wahis/reports/en_fup_0000007710_20090122_142134.pdf	
2009-01-22	Bangladesh	24,333	88,91	13	13	http://web.oie.int/wahis/reports/en_fup_0000007716_20090122_172548.pdf	
2009-01-22	Bangladesh	24,333	88,91	10	10	http://web.oie.int/wahis/reports/en_fup_0000007716_20090122_172548.pdf	
2009-01-22	Bangladesh	23,84	90,25	12000	12000	http://web.oie.int/wahis/reports/en_fup_0000007716_20090122_172548.pdf	
2009-01-22	Bangladesh	23,8	90,35	880	880	http://web.oie.int/wahis/reports/en_fup_0000007716_20090122_172548.pdf	
2009-01-22	Bangladesh	23,16	90,48	400	400	http://web.oie.int/wahis/reports/en_fup_0000007716_20090122_172548.pdf	
2009-01-22	Bangladesh	24,333	88,91	90	90	http://web.oie.int/wahis/reports/en_fup_0000007716_20090122_172548.pdf	
2009-01-22	Bangladesh	23,79	90,29	319	319	http://web.oie.int/wahis/reports/en_fup_0000007716_20090122_172548.pdf	
2009-01-22	Bangladesh	23,91	90,3	200	200	http://web.oie.int/wahis/reports/en_fup_0000007716_20090122_172548.pdf	
2009-01-28	Nepal	26,48	87,85	14	14	http://web.oie.int/wahis/reports/en_fup_0000007729_20090128_151303.pdf	
2009-01-28	Nepal	26,48	87,85	14	14	http://web.oie.int/wahis/reports/en_fup_0000007729_20090128_151303.pdf	
2009-01-29	Bangladesh	24,333	88,91	13	13	http://web.oie.int/wahis/reports/en_fup_0000007732_20090129_152304.pdf	
2009-01-29	Bangladesh	24,333	88,91	10	10	http://web.oie.int/wahis/reports/en_fup_0000007732_20090129_152304.pdf	
2009-01-29	Bangladesh	23,84	90,25	12000	12000	http://web.oie.int/wahis/reports/en_fup_0000007732_20090129_152304.pdf	
2009-01-29	Bangladesh	23,8	90,35	880	880	http://web.oie.int/wahis/reports/en_fup_0000007732_20090129_152304.pdf	
2009-01-29	Bangladesh	23,16	90,48	400	400	http://web.oie.int/wahis/reports/en_fup_0000007732_20090129_152304.pdf	
2009-01-29	Bangladesh	23,91	90,3	200	200	http://web.oie.int/wahis/reports/en_fup_0000007732_20090129_152304.pdf	
