report_date	country	latitude	longitude	cases	deaths	uri
2008-02-25	China (People's Rep. of)	39,1	121,7	NaN	1	http://web.oie.int/wahis/reports/China_fup11_6858_25022008_eng.pdf	
2008-02-25	China (People's Rep. of)	35,6065	95,8881	NaN	533	http://web.oie.int/wahis/reports/China_fup11_6858_25022008_eng.pdf	
2008-02-25	China (People's Rep. of)	35,3008	96,4995	NaN	451	http://web.oie.int/wahis/reports/China_fup11_6858_25022008_eng.pdf	
2008-02-25	China (People's Rep. of)	31,9376	89,2637	NaN	2579	http://web.oie.int/wahis/reports/China_fup11_6858_25022008_eng.pdf	
2008-02-25	China (People's Rep. of)	31,6319	88,3465	NaN	28	http://web.oie.int/wahis/reports/China_fup11_6858_25022008_eng.pdf	
2008-02-25	China (People's Rep. of)	31,7338	87,2254	NaN	57	http://web.oie.int/wahis/reports/China_fup11_6858_25022008_eng.pdf	
2008-07-07	Egypt	29,9311	31,185	9	9	http://web.oie.int/wahis/reports/Egypt_followup7_final%20report.pdf	
2008-07-07	Egypt	30,1879	31,1667	4	4	http://web.oie.int/wahis/reports/Egypt_followup7_final%20report.pdf	
2008-07-07	Egypt	30,2304	30,9726	19	19	http://web.oie.int/wahis/reports/Egypt_followup7_final%20report.pdf	
2008-07-07	Egypt	30,2159	31,214	1	1	http://web.oie.int/wahis/reports/Egypt_followup7_final%20report.pdf	
2008-07-07	Egypt	30,3269	31,325	1000	1000	http://web.oie.int/wahis/reports/Egypt_followup7_final%20report.pdf	
2008-07-07	Egypt	30,0373	31,1367	10	10	http://web.oie.int/wahis/reports/Egypt_followup7_final%20report.pdf	
2008-07-07	Egypt	26,1087	32,3675	13	13	http://web.oie.int/wahis/reports/Egypt_followup7_final%20report.pdf	
2008-07-07	Egypt	30,0122	31,6088	10	3	http://web.oie.int/wahis/reports/Egypt_followup7_final%20report.pdf	
2008-02-18	Germany	49,453948	11,101671	NaN	1	http://web.oie.int/wahis/reports/en_fup_0000005786_20080218_153225.pdf	
2008-02-18	Germany	49,451741	11,10286	NaN	1	http://web.oie.int/wahis/reports/en_fup_0000005786_20080218_153225.pdf	
2008-02-18	Germany	49,422482	11,111161	NaN	1	http://web.oie.int/wahis/reports/en_fup_0000005786_20080218_153225.pdf	
2008-02-18	Germany	49,451421	11,098225	NaN	1	http://web.oie.int/wahis/reports/en_fup_0000005786_20080218_153225.pdf	
2008-02-18	Germany	49,451846	11,103044	NaN	1	http://web.oie.int/wahis/reports/en_fup_0000005786_20080218_153225.pdf	
2008-02-18	Germany	49,450911	11,099059	NaN	1	http://web.oie.int/wahis/reports/en_fup_0000005786_20080218_153225.pdf	
2008-02-18	Germany	51,042457	12,528305	NaN	1	http://web.oie.int/wahis/reports/en_fup_0000005786_20080218_153225.pdf	
2008-02-18	Germany	51,042457	12,528305	NaN	1	http://web.oie.int/wahis/reports/en_fup_0000005786_20080218_153225.pdf	
2008-01-22	Germany	53,130235	13,112546	10	10	http://web.oie.int/wahis/reports/en_fup_0000006617_20080122_174456.pdf	
2008-01-22	Germany	52,416584	12,347089	5	2	http://web.oie.int/wahis/reports/en_fup_0000006617_20080122_174456.pdf	
2008-01-22	Germany	53,059951	12,348993	5	4	http://web.oie.int/wahis/reports/en_fup_0000006617_20080122_174456.pdf	
2008-01-15	Egypt	28,1019	30,0363	3	3	http://web.oie.int/wahis/reports/en_fup_0000006626_20080115_121726.pdf	
2008-01-15	Egypt	31,2246	30,4852	200	200	http://web.oie.int/wahis/reports/en_fup_0000006626_20080115_121726.pdf	
2008-01-15	Egypt	30,0122	31,6088	10	3	http://web.oie.int/wahis/reports/en_fup_0000006626_20080115_121726.pdf	
2008-01-15	Egypt	26,1087	32,3675	13	13	http://web.oie.int/wahis/reports/en_fup_0000006626_20080115_121726.pdf	
2008-01-15	Egypt	30,0373	31,1367	10	10	http://web.oie.int/wahis/reports/en_fup_0000006626_20080115_121726.pdf	
2008-01-15	Egypt	30,3269	31,325	1000	1000	http://web.oie.int/wahis/reports/en_fup_0000006626_20080115_121726.pdf	
2008-01-15	Egypt	30,2159	31,214	1	1	http://web.oie.int/wahis/reports/en_fup_0000006626_20080115_121726.pdf	
2008-01-15	Egypt	30,2304	30,9726	19	19	http://web.oie.int/wahis/reports/en_fup_0000006626_20080115_121726.pdf	
2008-01-04	United Kingdom	52,34929	1,02578	350	200	http://web.oie.int/wahis/reports/en_fup_0000006653_20080104_144600.pdf	
2008-01-04	United Kingdom	52,39228	0,86437	3	0	http://web.oie.int/wahis/reports/en_fup_0000006653_20080104_144600.pdf	
2008-01-07	Vietnam	9,3331	105,313	80	50	http://web.oie.int/wahis/reports/en_fup_0000006658_20080107_180252.pdf	
2008-01-07	Vietnam	9,104654	104,839648	188	134	http://web.oie.int/wahis/reports/en_fup_0000006658_20080107_180252.pdf	
2008-01-07	Vietnam	9,1353	105,1108	225	225	http://web.oie.int/wahis/reports/en_fup_0000006658_20080107_180252.pdf	
2008-01-07	Vietnam	9,11198	104,890706	2523	2523	http://web.oie.int/wahis/reports/en_fup_0000006658_20080107_180252.pdf	
2008-01-07	Vietnam	9,2027	105,3237	3550	3550	http://web.oie.int/wahis/reports/en_fup_0000006658_20080107_180252.pdf	
2008-01-07	Vietnam	9,0843	105,0743	40	40	http://web.oie.int/wahis/reports/en_fup_0000006658_20080107_180252.pdf	
2008-01-07	Vietnam	9,1501	105,0027	45	45	http://web.oie.int/wahis/reports/en_fup_0000006658_20080107_180252.pdf	
2008-01-07	Vietnam	9,1132	105,0751	7	7	http://web.oie.int/wahis/reports/en_fup_0000006658_20080107_180252.pdf	
2008-01-07	Israel	32,5195133375	34,9647465364	12	12	http://web.oie.int/wahis/reports/en_fup_0000006659_20080107_191039.pdf	
